id,host_response_rate,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating
9409057,0.73,Pacific Beach,92109,Condominium,Entire home/apt,6,2,2,2,349,45,92
17254684,1,Pacific Beach,92109,Condominium,Entire home/apt,4,1,1,2,150,4,100
35086821,1,Grant Hill,92102,Apartment,Entire home/apt,6,1,2,2,153,48,96
17594001,1,Core-Columbia,92101,Condominium,Entire home/apt,10,2,2,5,189,81,98
20865351,1,Ocean Beach,92107,Apartment,Entire home/apt,7,1,2,3,199,138,93
19905269,0.9,East Village,92101,Condominium,Entire home/apt,4,1,1,2,250,4,95
37747042,1,Hillcrest,92103,Condominium,Entire home/apt,4,2,2,4,225,2,100
26423914,0.9,Pacific Beach,92109,Cottage,Entire home/apt,4,1,1,1,120,81,89
40203740,0.99,Stockton,92102,House,Entire home/apt,16,2,3,5,179,1,100
39395095,0.83,Old Town,92110,Apartment,Entire home/apt,2,1,1,1,75,1,60
16618065,0.97,Mission Beach,92109,Condominium,Entire home/apt,6,1,2,3,540,7,97
24699059,1,La Jolla,92037,Guesthouse,Entire home/apt,2,1,1,1,75,155,99
21115764,1,North Park,92104,House,Entire home/apt,2,1,1,1,69,78,93
12954070,0.92,Mission Beach,92109,Condominium,Entire home/apt,6,1,2,3,261,10,88
18520426,1,North Park,92116,Apartment,Entire home/apt,4,1.5,2,3,110,84,99
22619758,0.98,Park West,92101,House,Entire home/apt,16,4,5,8,899,26,98
15193060,1,Mission Beach,92109,House,Entire home/apt,10,3,4,3,621,14,96
17187394,1,Point Loma Heights,92107,Guest suite,Entire home/apt,2,1,1,1,78,115,97
6812385,0.9,La Jolla,92037,House,Entire home/apt,16,6.5,10,14,1197,7,91
13085754,0.95,Horton Plaza,91901,Castle,Entire home/apt,16,6,6,16,1800,20,98
39780009,1,Adams North,92116,House,Entire home/apt,6,1,0,2,140,11,98
23374507,1,Core-Columbia,92101,Aparthotel,Entire home/apt,4,1,1,2,375,6,100
40967883,1,Encanto,92114,House,Private room,2,1.5,1,1,45,3,100
25977827,1,North Park,92104,House,Entire home/apt,8,2,3,4,232,51,99
18777754,1,Hillcrest,92103,Apartment,Entire home/apt,2,1,1,3,120,163,99
7868382,0.99,Gaslamp,92101,Hotel,Hotel room,4,1,0,2,144,5,85
40090020,0.95,Little Italy,92101,House,Entire home/apt,16,3,5,17,299,3,80
18004672,0.88,Pacific Beach,92109,Apartment,Entire home/apt,4,1,1,2,145,15,93
39222408,0.98,University City,92037,Condominium,Entire home/apt,4,1,1,1,155,4,95
33288467,0.98,Serra Mesa,92123,Guesthouse,Entire home/apt,2,1,1,1,60,37,97
35015878,1,Birdland,92123,Guest suite,Entire home/apt,3,1,0,1,59,31,98
38358504,0.99,Hillcrest,92103,Apartment,Entire home/apt,6,1,2,2,135,24,97
21096697,1,San Carlos,92120,Townhouse,Private room,3,1.5,1,1,66,38,97
29342550,1,Mission Beach,92109,House,Entire home/apt,8,2,3,4,300,47,95
35343142,1,Mission Beach,92109,Condominium,Entire home/apt,19,5,6,11,1291,2,100
977963,1,Pacific Beach,92109,Apartment,Entire home/apt,4,1,1,2,235,3,93
12245392,1,Normal Heights,92116,House,Entire home/apt,4,1,1,1,85,252,99
19599008,0.6,Bay Park,92110,Guest suite,Entire home/apt,5,1,1,2,150,97,99
24199172,1,North Park,92116,Guesthouse,Entire home/apt,3,1,1,4,89,92,99
9369164,0.99,Pacific Beach,92109,Apartment,Entire home/apt,6,1,2,4,210,10,88
23223261,1,East Village,92101,Condominium,Private room,1,1,1,1,48,3,100
40705626,0.98,East Village,92101,Apartment,Entire home/apt,4,2,2,2,154,1,100
4287705,1,East Village,92101,Loft,Entire home/apt,2,1,1,1,100,9,91
1252651,1,Ocean Beach,92107,Bungalow,Entire home/apt,5,1,2,2,225,116,97
19094901,1,University City,92122,Apartment,Private room,2,1,1,1,59,110,98
38819134,1,Encanto,92114,House,Entire home/apt,6,1,2,3,140,10,98
8686773,1,Grantville,92120,House,Private room,2,1,1,1,59,39,96
40375425,0.96,La Jolla,92037,House,Entire home/apt,10,3.5,4,4,1000,1,100
